Jennifer,F,57115,1982.txt
Jessica,F,45446,1982.txt
Amanda,F,34213,1982.txt
Sarah,F,28484,1982.txt
Melissa,F,25867,1982.txt
Nicole,F,21706,1982.txt
Stephanie,F,20855,1982.txt
Elizabeth,F,20511,1982.txt
Crystal,F,19104,1982.txt
Amy,F,18802,1982.txt
Michelle,F,17766,1982.txt
Heather,F,17494,1982.txt
Tiffany,F,17173,1982.txt
Kimberly,F,16100,1982.txt
Rebecca,F,15728,1982.txt
Angela,F,15002,1982.txt
Ashley,F,14853,1982.txt
Amber,F,14678,1982.txt
Christina,F,14513,1982.txt
Erin,F,14365,1982.txt
Rachel,F,13869,1982.txt
Laura,F,13307,1982.txt
Lisa,F,12637,1982.txt
Emily,F,12518,1982.txt
Kelly,F,12169,1982.txt
Lauren,F,11592,1982.txt
Andrea,F,11376,1982.txt
Sara,F,11341,1982.txt
Jamie,F,11039,1982.txt
Mary,F,10855,1982.txt
Danielle,F,10209,1982.txt
April,F,10061,1982.txt
Kristen,F,9535,1982.txt
Megan,F,9517,1982.txt
Erica,F,9340,1982.txt
Katherine,F,9181,1982.txt
Kristin,F,8732,1982.txt
Shannon,F,8622,1982.txt
Lindsay,F,8256,1982.txt
Lindsey,F,7958,1982.txt
Julie,F,7694,1982.txt
Maria,F,7342,1982.txt
Courtney,F,7096,1982.txt
Samantha,F,6771,1982.txt
Katie,F,6679,1982.txt
Christine,F,6556,1982.txt
Tara,F,6523,1982.txt
Kathryn,F,6284,1982.txt
Vanessa,F,6153,1982.txt
Brandy,F,6079,1982.txt
Natalie,F,5963,1982.txt
Monica,F,5734,1982.txt
Alicia,F,5616,1982.txt
Jacqueline,F,5492,1982.txt
Brandi,F,5469,1982.txt
Anna,F,5270,1982.txt
Carrie,F,5186,1982.txt
Allison,F,5172,1982.txt
Patricia,F,5168,1982.txt
Leslie,F,4983,1982.txt
Holly,F,4682,1982.txt
Cassandra,F,4664,1982.txt
Cynthia,F,4426,1982.txt
Diana,F,4425,1982.txt
Melanie,F,4254,1982.txt
Victoria,F,4253,1982.txt
Dana,F,4237,1982.txt
Karen,F,4154,1982.txt
Kristina,F,4147,1982.txt
Veronica,F,4146,1982.txt
Natasha,F,4129,1982.txt
Stacy,F,4098,1982.txt
Catherine,F,4096,1982.txt
Misty,F,4071,1982.txt
Valerie,F,3986,1982.txt
Susan,F,3964,1982.txt
Kathleen,F,3948,1982.txt
Candice,F,3792,1982.txt
Leah,F,3764,1982.txt
Sandra,F,3650,1982.txt
Erika,F,3595,1982.txt
Pamela,F,3545,1982.txt
Krystal,F,3504,1982.txt
Julia,F,3502,1982.txt
Stacey,F,3460,1982.txt
Heidi,F,3391,1982.txt
Katrina,F,3323,1982.txt
Tracy,F,3281,1982.txt
Jill,F,3270,1982.txt
Tina,F,3219,1982.txt
Latoya,F,3201,1982.txt
Brooke,F,3145,1982.txt
Alexis,F,3122,1982.txt
Brittany,F,3100,1982.txt
Dawn,F,3088,1982.txt
Jillian,F,3055,1982.txt
Margaret,F,2997,1982.txt
Lori,F,2979,1982.txt
Nichole,F,2922,1982.txt
Denise,F,2895,1982.txt
Renee,F,2892,1982.txt
Teresa,F,2882,1982.txt
Candace,F,2851,1982.txt
Kristy,F,2842,1982.txt
Wendy,F,2822,1982.txt
Nancy,F,2805,1982.txt
Linda,F,2787,1982.txt
Robin,F,2768,1982.txt
Theresa,F,2751,1982.txt
Meghan,F,2734,1982.txt
Alison,F,2726,1982.txt
Bethany,F,2713,1982.txt
Kara,F,2662,1982.txt
Tanya,F,2600,1982.txt
Christy,F,2599,1982.txt
Monique,F,2573,1982.txt
Miranda,F,2520,1982.txt
Brenda,F,2518,1982.txt
Casey,F,2477,1982.txt
Rachael,F,2471,1982.txt
Jenny,F,2455,1982.txt
Anne,F,2445,1982.txt
Melinda,F,2410,1982.txt
Gina,F,2384,1982.txt
Lacey,F,2382,1982.txt
Tonya,F,2379,1982.txt
Kelli,F,2373,1982.txt
Sabrina,F,2370,1982.txt
Tamara,F,2359,1982.txt
Barbara,F,2346,1982.txt
Molly,F,2317,1982.txt
Ebony,F,2280,1982.txt
Kayla,F,2274,1982.txt
Tammy,F,2263,1982.txt
Michele,F,2224,1982.txt
Kari,F,2220,1982.txt
Jaime,F,2196,1982.txt
Cassie,F,2193,1982.txt
Colleen,F,2145,1982.txt
Kristi,F,2144,1982.txt
Jaclyn,F,2140,1982.txt
Desiree,F,2097,1982.txt
Rebekah,F,2059,1982.txt
Sharon,F,2026,1982.txt
Alisha,F,2014,1982.txt
Carolyn,F,2009,1982.txt
Bridget,F,2008,1982.txt
Beth,F,2002,1982.txt
Sheena,F,1956,1982.txt
Meredith,F,1952,1982.txt
Stefanie,F,1949,1982.txt
Tabitha,F,1936,1982.txt
Latasha,F,1922,1982.txt
Marie,F,1922,1982.txt
Ann,F,1920,1982.txt
Deanna,F,1895,1982.txt
Abigail,F,1885,1982.txt
Tasha,F,1884,1982.txt
Cheryl,F,1876,1982.txt
Deborah,F,1843,1982.txt
Joanna,F,1835,1982.txt
Shawna,F,1770,1982.txt
Kendra,F,1762,1982.txt
Virginia,F,1761,1982.txt
Carla,F,1757,1982.txt
Angel,F,1745,1982.txt
Cindy,F,1729,1982.txt
Adrienne,F,1727,1982.txt
Morgan,F,1716,1982.txt
Chelsea,F,1715,1982.txt
Mandy,F,1714,1982.txt
Regina,F,1713,1982.txt
Krista,F,1695,1982.txt
Suzanne,F,1626,1982.txt
Hannah,F,1580,1982.txt
Jodi,F,1570,1982.txt
Audrey,F,1542,1982.txt
Caroline,F,1536,1982.txt
Alexandra,F,1530,1982.txt
Donna,F,1529,1982.txt
Marissa,F,1521,1982.txt
Janet,F,1499,1982.txt
Angelica,F,1498,1982.txt
Priscilla,F,1489,1982.txt
Whitney,F,1478,1982.txt
Trisha,F,1459,1982.txt
Aimee,F,1450,1982.txt
Martha,F,1449,1982.txt
Jasmine,F,1448,1982.txt
Claudia,F,1438,1982.txt
Jacquelyn,F,1438,1982.txt
Yolanda,F,1438,1982.txt
Autumn,F,1426,1982.txt
Nina,F,1426,1982.txt
Felicia,F,1425,1982.txt
Cristina,F,1421,1982.txt
Evelyn,F,1375,1982.txt
Toni,F,1372,1982.txt
Bonnie,F,1367,1982.txt
Ana,F,1360,1982.txt
Diane,F,1349,1982.txt
Kate,F,1341,1982.txt
Joy,F,1335,1982.txt
Cara,F,1328,1982.txt
Paula,F,1326,1982.txt
Mindy,F,1322,1982.txt
Carmen,F,1315,1982.txt
Robyn,F,1315,1982.txt
Debra,F,1313,1982.txt
Abby,F,1299,1982.txt
Summer,F,1260,1982.txt
Carly,F,1250,1982.txt
Janelle,F,1245,1982.txt
Kristine,F,1233,1982.txt
Naomi,F,1221,1982.txt
Shanna,F,1212,1982.txt
Rosa,F,1204,1982.txt
Kellie,F,1194,1982.txt
Caitlin,F,1191,1982.txt
Laurie,F,1185,1982.txt
Tia,F,1182,1982.txt
Ruth,F,1178,1982.txt
Adriana,F,1174,1982.txt
Sophia,F,1161,1982.txt
Jessie,F,1144,1982.txt
Shelly,F,1136,1982.txt
Rhonda,F,1131,1982.txt
Olivia,F,1127,1982.txt
Melody,F,1114,1982.txt
Alyssa,F,1109,1982.txt
Sheila,F,1100,1982.txt
Rose,F,1098,1982.txt
Marisa,F,1096,1982.txt
Terri,F,1091,1982.txt
Randi,F,1086,1982.txt
Gloria,F,1074,1982.txt
Nikki,F,1074,1982.txt
Charlene,F,1058,1982.txt
Tamika,F,1056,1982.txt
Lydia,F,1052,1982.txt
Sonia,F,1047,1982.txt
Sherry,F,1046,1982.txt
